,Ticker,Absolute Mean Move
0,DABUR,1.307100160899405
1,COLPAL,1.3392107479199902
2,BRITANNIA,1.357705859509104
3,HINDUNILVR,1.3738950017018383
4,PIDILITIND,1.3998548982295098
5,MARICO,1.414062429975496
6,NESTLEIND,1.438805493780055
7,MRF,1.4594848212335985
8,TORNTPOWER,1.463233038943896
9,BAJAJ-AUTO,1.4728859867323003
10,DRREDDY,1.4872336530175643
11,TCS,1.4873217420628295
12,BERGEPAINT,1.5329042137742888
13,ASIANPAINT,1.534268149423916
14,POWERGRID,1.5455574674619073
15,SIEMENS,1.5631470166021342
16,UBL,1.564256385199309
17,IOC,1.5956335794198135
18,WIPRO,1.6032465406352359
19,ITC,1.6174325834369274
20,SBILIFE,1.6196702002291068
21,HDFCAMC,1.6237083751832124
22,ULTRACEMCO,1.6375478000159185
23,DIVISLAB,1.643485897939653
24,SRF,1.6609449924655038
25,HAVELLS,1.6635258444096355
26,EXIDEIND,1.6687288699083533
27,PAGEIND,1.6717107491182601
28,CIPLA,1.67354595234022
29,BATAINDIA,1.6757231375813786
30,GODREJCP,1.6896373238841953
31,LT,1.692098034122073
32,INFY,1.6965374932174822
33,ACC,1.7101365818039724
34,LUPIN,1.7159754798833817
35,SUNPHARMA,1.7284869734419905
36,TORNTPHARM,1.7300229483024954
37,SHREECEM,1.7338231404769802
38,PETRONET,1.7507056332312048
39,LALPATHLAB,1.7517922746142767
40,CADILAHC,1.7531923108913463
41,VOLTAS,1.756257585244747
42,HCLTECH,1.7609880372359452
43,MCDOWELL-N,1.7652781054616633
44,TITAN,1.7654374232063699
45,COALINDIA,1.7704685834765008
46,ADANIPORTS,1.7750392432773627
47,HDFCLIFE,1.776308529868838
48,NTPC,1.7778705353937578
49,BIOCON,1.7833553933706272
50,AMBUJACEM,1.8082573361616687
51,ICICIGI,1.8093218979765506
52,HDFCBANK,1.8176872467456504
53,IGL,1.8220943915929593
54,TECHM,1.8239173221136125
55,RAMCOCEM,1.8293812905550502
56,MGL,1.831700708462434
57,MARUTI,1.8480216471474675
58,TVSMOTOR,1.8485996141439873
59,AARTIIND,1.8764100353641082
60,AMARAJABAT,1.8792912419113486
61,TATACHEM,1.8890540526853459
62,CUMMINSIND,1.8921929708020206
63,TATACONSUM,1.8933073673784457
64,RELIANCE,1.898768652524096
65,BHARTIARTL,1.9065985712939668
66,HEROMOTOCO,1.9234158599056708
67,BALKRISIND,1.9617761723196914
68,GRASIM,1.962294842878881
69,EICHERMOT,1.9922858782317863
70,APOLLOHOSP,1.9931298301169862
71,CONCOR,1.9944434725120541
72,KOTAKBANK,2.0086532057809685
73,SUNTV,2.02735017619506
74,MINDTREE,2.027413403491349
75,JUBLFOOD,2.040446304526447
76,HDFC,2.057455183191214
77,RECLTD,2.059549874869457
78,GMRINFRA,2.0679862930091226
79,BOSCHLTD,2.0938027036289575
80,M&M,2.0959443299776526
81,GAIL,2.1103295220920533
82,BPCL,2.1359695823409615
83,ICICIPRULI,2.1545238154994886
84,PFC,2.1692680567332214
85,HINDPETRO,2.174979869964027
86,NATIONALUM,2.1848855672471217
87,SBIN,2.1855869144019175
88,JSWSTEEL,2.1983182562770374
89,TATASTEEL,2.20437705552484
90,NAUKRI,2.2086490738380036
91,UPL,2.2205531942765186
92,ONGC,2.2211146971229416
93,MUTHOOTFIN,2.2233378030211304
94,PNB,2.2512809230191673
95,APOLLOTYRE,2.265489182996446
96,GLENMARK,2.268201053655821
97,BAJAJFINSV,2.2698484148657947
98,BEL,2.2978054965794272
99,BHARATFORG,2.2978449863951123
100,TATAPOWER,2.30240079015168
101,MFSL,2.3244621190752155
102,NMDC,2.3260926659518115
103,ADANIENT,2.332316248490091
104,INDIGO,2.3451370170312758
105,BANKBARODA,2.3531205119873975
106,ICICIBANK,2.363016599308706
107,AUROPHARMA,2.377854119529737
108,ESCORTS,2.3821164852979946
109,GODREJPROP,2.403862354899965
110,VEDL,2.4607219722311036
111,IDFCFIRSTB,2.4763008626588636
112,CANBK,2.4777418426483906
113,MANAPPURAM,2.509064612323226
114,PVR,2.5770684339207612
115,AXISBANK,2.5798518805470834
116,BHEL,2.5915268525674287
117,HINDALCO,2.5931455134508847
118,DLF,2.598129833726668
119,FEDERALBNK,2.608840395387219
120,LICHSGFIN,2.6323257659345796
121,PEL,2.6493384304050607
122,ASHOKLEY,2.668387759863905
123,TATAMOTORS,2.689356692111369
124,BAJFINANCE,2.69377342095127
125,L&TFH,2.707096205763914
126,SAIL,2.7350221591214283
127,MOTHERSUMI,2.8739180495932612
128,JINDALSTEL,3.0621916491166483
129,M&MFIN,3.0953460198577623
130,ZEEL,3.1017551836261434
131,CHOLAFIN,3.127952976217985
132,RBLBANK,3.128021434798096
133,SRTRANSFIN,3.2963534665613445
134,BANDHANBNK,3.3150634129326217
135,INDUSINDBK,3.3838213787216787
136,IBULHSGFIN,3.535436164047151
137,IDEA,4.5896154039848716
